ASIN,Brand,Marketplace,Keyword,FetchedAt
B0CZ49672R,101,US,soccer  cleats,2025-09-03 21:36:48
B0834MH7GK,"2,074",US,soccer  cleats,2025-09-03 21:36:48
B01N0FWHEY,"6,402",US,soccer  cleats,2025-09-03 21:36:48
B0D14QP1CW,224,US,soccer  cleats,2025-09-03 21:36:48
B091ZBSR6V,"5,313",US,soccer  cleats,2025-09-03 21:36:48
B0D2JK8DLR,Products highlighted as 'Overall Pick' are:,US,soccer  cleats,2025-09-03 21:36:48
B0DJTZSTFC,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B0FHKN7TZV,2,US,soccer  cleats,2025-09-03 21:36:48
B0FH4PHN2N,5,US,soccer  cleats,2025-09-03 21:36:48
B0FJFSVDK4,2,US,soccer  cleats,2025-09-03 21:36:48
B0F7HD4BQJ,24,US,soccer  cleats,2025-09-03 21:36:48
B0FC6GBQM7,6,US,soccer  cleats,2025-09-03 21:36:48
B0FKGLW74F,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B0FJFM1WMG,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B0FJDFB8QM,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B0D2JDH2C2,249,US,soccer  cleats,2025-09-03 21:36:48
B0B14HPS5V,832,US,soccer  cleats,2025-09-03 21:36:48
B096N9W5CN,433,US,soccer  cleats,2025-09-03 21:36:48
B0D91XBW2W,180,US,soccer  cleats,2025-09-03 21:36:48
B0F3D5BSSB,39,US,soccer  cleats,2025-09-03 21:36:48
B0CWG9X5LB,194,US,soccer  cleats,2025-09-03 21:36:48
B0FGJJDMYJ,8,US,soccer  cleats,2025-09-03 21:36:48
B0834N2CNX,"2,074",US,soccer  cleats,2025-09-03 21:36:48
B09Z6KDLCW,"5,468",US,soccer  cleats,2025-09-03 21:36:48
B0D8R944FJ,112,US,soccer  cleats,2025-09-03 21:36:48
B0CQWZZC3V,67,US,soccer  cleats,2025-09-03 21:36:48
B0F1CRP2TM,24,US,soccer  cleats,2025-09-03 21:36:48
B0F8P7SRVH,122,US,soccer  cleats,2025-09-03 21:36:48
B0BHQGXHB3,4,US,soccer  cleats,2025-09-03 21:36:48
B0DP3Y81ZT,242,US,soccer  cleats,2025-09-03 21:36:48
B0D2JGGFZR,32,US,soccer  cleats,2025-09-03 21:36:48
B07MHXZZPH,"4,127",US,soccer  cleats,2025-09-03 21:36:48
B0D584N8ZK,122,US,soccer  cleats,2025-09-03 21:36:48
B0F3774N46,221,US,soccer  cleats,2025-09-03 21:36:48
B0DQ8VWY1M,7,US,soccer  cleats,2025-09-03 21:36:48
B0CZ9N67TR,177,US,soccer  cleats,2025-09-03 21:36:48
B0B51V7JJ1,144,US,soccer  cleats,2025-09-03 21:36:48
B0DRFCLLLR,110,US,soccer  cleats,2025-09-03 21:36:48
B093RQ15K4,"12,739",US,soccer  cleats,2025-09-03 21:36:48
B000O3SAEQ,"5,918",US,soccer  cleats,2025-09-03 21:36:48
B0BRKQ78P6,505,US,soccer  cleats,2025-09-03 21:36:48
B0834L5B4B,"1,907",US,soccer  cleats,2025-09-03 21:36:48
B0D8RHNSZL,60,US,soccer  cleats,2025-09-03 21:36:48
B0DRFB5NJJ,105,US,soccer  cleats,2025-09-03 21:36:48
B0CM71LXZC,113,US,soccer  cleats,2025-09-03 21:36:48
B093WRLM5X,65,US,soccer  cleats,2025-09-03 21:36:48
B01IYGSCYW,"2,768",US,soccer  cleats,2025-09-03 21:36:48
B0FC1G5TM1,20,US,soccer  cleats,2025-09-03 21:36:48
B0CK2VZ66Q,209,US,soccer  cleats,2025-09-03 21:36:48
B01NA86WOK,"6,402",US,soccer  cleats,2025-09-03 21:36:48
B0F7PQ32B3,"This product was added to Amazon in the last 90 days, and is:",US,soccer  cleats,2025-09-03 21:36:48
B0D4TX8JDR,4,US,soccer  cleats,2025-09-03 21:36:48
B0DZVTH77X,29,US,soccer  cleats,2025-09-03 21:36:48
B0D2JDDS4S,47,US,soccer  cleats,2025-09-03 21:36:48
B06W9JW5TL,"4,808",US,soccer  cleats,2025-09-03 21:36:48
B0D4TYKPJN,4,US,soccer  cleats,2025-09-03 21:36:48
B083RYYSPL,"1,536",US,soccer  cleats,2025-09-03 21:36:48
B0CKM95L6D,79,US,soccer  cleats,2025-09-03 21:36:48
B0D25XCSQD,220,US,soccer  cleats,2025-09-03 21:36:48
B0CGKGGL13,11,US,soccer  cleats,2025-09-03 21:36:48
B0C13H92G3,35,US,soccer  cleats,2025-09-03 21:36:48
B0CM7VT275,89,US,soccer  cleats,2025-09-03 21:36:48
B0D8RGXCBQ,10,US,soccer  cleats,2025-09-03 21:36:48
B0C51695Q7,"1,097",US,soccer  cleats,2025-09-03 21:36:48
B0F13MD8D6,35,US,soccer  cleats,2025-09-03 21:36:48
B0C13DLN94,416,US,soccer  cleats,2025-09-03 21:36:48
B0DJMLGM3K,17,US,soccer  cleats,2025-09-03 21:36:48
B0CZ48MLMV,101,US,soccer  cleats,2025-09-03 21:36:48
B0F7R5PRB8,98,US,soccer  cleats,2025-09-03 21:36:48
B0F5MRNX4K,21,US,soccer  cleats,2025-09-03 21:36:48
B09Z6KM3PL,"5,468",US,soccer  cleats,2025-09-03 21:36:48
B0D585BGB5,122,US,soccer  cleats,2025-09-03 21:36:48
B09Z57YRDV,"2,026",US,soccer  cleats,2025-09-03 21:36:48
B0D95MK56J,181,US,soccer  cleats,2025-09-03 21:36:48
B0BCVVWRHL,4,US,soccer  cleats,2025-09-03 21:36:48
B0C7K9VV79,83,US,soccer  cleats,2025-09-03 21:36:48
B0C3DPL448,34,US,soccer  cleats,2025-09-03 21:36:48
B0DLBGB3JP,37,US,soccer  cleats,2025-09-03 21:36:48
B085LBXX1J,538,US,soccer  cleats,2025-09-03 21:36:48
B0CQX118BM,67,US,soccer  cleats,2025-09-03 21:36:48
B0BRP4DBB3,567,US,soccer  cleats,2025-09-03 21:36:48
B0F91JWDX7,29,US,soccer  cleats,2025-09-03 21:36:48
B0BQ377QSB,"5,468",US,soccer  cleats,2025-09-03 21:36:48
B0F3D39NMF,39,US,soccer  cleats,2025-09-03 21:36:48
B0DJV4QSXS,2,US,soccer  cleats,2025-09-03 21:36:48
B083RY8218,"1,770",US,soccer  cleats,2025-09-03 21:36:48
B0CQFZB62Z,161,US,soccer  cleats,2025-09-03 21:36:48
B0CQX1LDFF,4,US,soccer  cleats,2025-09-03 21:36:48
B0FCF6G5LX,19,US,soccer  cleats,2025-09-03 21:36:48
B0DT545BGJ,1,US,soccer  cleats,2025-09-03 21:36:48
B0D8RDJT9W,72,US,soccer  cleats,2025-09-03 21:36:48
B0834MJHYQ,"1,540",US,soccer  cleats,2025-09-03 21:36:48
B0C2JT9J4T,193,US,soccer  cleats,2025-09-03 21:36:48
B0BPJ2CV8V,16,US,soccer  cleats,2025-09-03 21:36:48
B0CDFDBKXG,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B0BHX8K4YM,2,US,soccer  cleats,2025-09-03 21:36:48
B0FJFPMFQ6,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B083RYPP1X,"1,499",US,soccer  cleats,2025-09-03 21:36:48
B0CCD7MTLH,817,US,soccer  cleats,2025-09-03 21:36:48
B0D8RS3R92,31,US,soccer  cleats,2025-09-03 21:36:48
B0BRMQVV74,410,US,soccer  cleats,2025-09-03 21:36:48
B0CKMCFLCF,121,US,soccer  cleats,2025-09-03 21:36:48
B0DZFL543P,List:,US,soccer  cleats,2025-09-03 21:36:48
B007KYTUIM,"3,582",US,soccer  cleats,2025-09-03 21:36:48
B0CQ7M7TQK,59,US,soccer  cleats,2025-09-03 21:36:48
B07FQ27LL8,247,US,soccer  cleats,2025-09-03 21:36:48
B0C3DLS6R2,890,US,soccer  cleats,2025-09-03 21:36:48
B0DF7JXFDX,77,US,soccer  cleats,2025-09-03 21:36:48
B0DHW9QXKF,14,US,soccer  cleats,2025-09-03 21:36:48
B0FCF7NTYV,19,US,soccer  cleats,2025-09-03 21:36:48
B0FG2XQCQT,8,US,soccer  cleats,2025-09-03 21:36:48
B0CZ44S5FF,495,US,soccer  cleats,2025-09-03 21:36:48
B0BH3PFQ7T,31,US,soccer  cleats,2025-09-03 21:36:48
B085PP9KGH,339,US,soccer  cleats,2025-09-03 21:36:48
B0D7W9PY7S,15,US,soccer  cleats,2025-09-03 21:36:48
B0C3Q9JKB5,245,US,soccer  cleats,2025-09-03 21:36:48
B0DL46WTD9,101,US,soccer  cleats,2025-09-03 21:36:48
B0C12VD98S,19,US,soccer  cleats,2025-09-03 21:36:48
B09DZV2JYN,99,US,soccer  cleats,2025-09-03 21:36:48
B0DK2X28YV,76,US,soccer  cleats,2025-09-03 21:36:48
B0DT421MV2,102,US,soccer  cleats,2025-09-03 21:36:48
B0D2JCSG5J,67,US,soccer  cleats,2025-09-03 21:36:48
B0C1368X61,87,US,soccer  cleats,2025-09-03 21:36:48
B0B842PNWJ,152,US,soccer  cleats,2025-09-03 21:36:48
B0DKDW76J4,62,US,soccer  cleats,2025-09-03 21:36:48
B08TBCQ4MZ,42,US,soccer  cleats,2025-09-03 21:36:48
B0BGQNJC84,"1,182",US,soccer  cleats,2025-09-03 21:36:48
B0F1CNC1Z6,24,US,soccer  cleats,2025-09-03 21:36:48
B0F1LHYCXJ,31,US,soccer  cleats,2025-09-03 21:36:48
B0F7R6L99F,98,US,soccer  cleats,2025-09-03 21:36:48
B08SJDVSR9,Cushioned Insole,US,soccer  cleats,2025-09-03 21:36:48
B0F6SZVQTC,45,US,soccer  cleats,2025-09-03 21:36:48
B00RDEC3AG,"4,017",US,soccer  cleats,2025-09-03 21:36:48
B0D2JDD6GZ,156,US,soccer  cleats,2025-09-03 21:36:48
B0F63JKYG2,16,US,soccer  cleats,2025-09-03 21:36:48
B0033BPBD4,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B0011YEMDK,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B001CD16CU,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B0BGQNF48H,"1,255",US,soccer  cleats,2025-09-03 21:36:48
B0BRQ7LFZT,489,US,soccer  cleats,2025-09-03 21:36:48
B0FJT81V4Q,Unknown Brand,US,soccer  cleats,2025-09-03 21:36:48
B0CQX1KDQ8,67,US,soccer  cleats,2025-09-03 21:36:48
B0C2JT3MG3,"1,675",US,soccer  cleats,2025-09-03 21:36:48
B0F3D46F7B,39,US,soccer  cleats,2025-09-03 21:36:48
B0F1LH63NG,31,US,soccer  cleats,2025-09-03 21:36:48
B01IYGK4KM,"1,278",US,soccer  cleats,2025-09-03 21:36:48
B0FGQ42WN6,10,US,soccer  cleats,2025-09-03 21:36:48
B0D91XM15N,180,US,soccer  cleats,2025-09-03 21:36:48
B09BD1DTQ9,743,US,soccer  cleats,2025-09-03 21:36:48
B0D2JBP6NX,34,US,soccer  cleats,2025-09-03 21:36:48
B0CLV9YMQY,330,US,soccer  cleats,2025-09-03 21:36:48
B0D2Y97V23,28,US,soccer  cleats,2025-09-03 21:36:48
B0D2JCKV2F,54,US,soccer  cleats,2025-09-03 21:36:48
B0B9XRPHKK,632,US,soccer  cleats,2025-09-03 21:36:48
B0FB2VXGZG,30,US,soccer  cleats,2025-09-03 21:36:48
B0DHTY5MGD,20,US,soccer  cleats,2025-09-03 21:36:48
B0DWV8XJQN,1,US,soccer  cleats,2025-09-03 21:36:48
B0D2JFQKT6,33,US,soccer  cleats,2025-09-03 21:36:48
B0DPHZNG52,98,US,soccer  cleats,2025-09-03 21:36:48
B0CKM8V7T2,38,US,soccer  cleats,2025-09-03 21:36:48
B0CR6SJYCK,33,US,soccer  cleats,2025-09-03 21:36:48
B0F8ZMY97V,2,US,soccer  cleats,2025-09-03 21:36:48
B0CQ7K6PG5,307,US,soccer  cleats,2025-09-03 21:36:48
B0CJT1RXTB,725,US,soccer  cleats,2025-09-03 21:36:48
B0DX2LKRTS,List:,US,soccer  cleats,2025-09-03 21:36:48
B0CZ9KRN5N,13,US,soccer  cleats,2025-09-03 21:36:48
B0BCGZ6VK8,59,US,soccer  cleats,2025-09-03 21:36:48
